account_id,account_status,account_type,currency,customer_id,product_category,branch_id
A1001,ACTIVE,CHEQUING,CAD,C001,PERSONAL_BANKING,B001
A1002,ACTIVE,SAVINGS,CAD,C001,PERSONAL_BANKING,B001
A2001,ACTIVE,BUSINESS_CHEQUING,USD,C002,SMALL_BUSINESS,B002
A3001,ACTIVE,CHEQUING,CAD,C003,PERSONAL_BANKING,B003
A3002,ACTIVE,WIRE_ACCOUNT,USD,C003,INTERNATIONAL_TRANSFER,B003
A4001,ACTIVE,BUSINESS_SAVINGS,CAD,C004,CORPORATE_BANKING,B004
A5001,DORMANT,SAVINGS,GBP,C005,PERSONAL_BANKING,B005
A6001,ACTIVE,BUSINESS_CHEQUING,CNY,C006,TRADE_FINANCE,B006
A7001,ACTIVE,WIRE_ACCOUNT,USD,C007,INTERNATIONAL_TRANSFER,B007
A8001,ACTIVE,SMALL_BUSINESS_ACCOUNT,TRY,C008,SMALL_BUSINESS,B008
A9001,ACTIVE,CHEQUING,GBP,C009,PERSONAL_BANKING,B009
A10001,ACTIVE,CORPORATE_ACCOUNT,USD,C010,OFFSHORE_BANKING,B010
A11001,ACTIVE,SAVINGS,CAD,C011,PERSONAL_BANKING,B001
A12001,ACTIVE,SMALL_BUSINESS_ACCOUNT,USD,C012,SMALL_BUSINESS,B002
A13001,DORMANT,WIRE_ACCOUNT,AED,C013,INTERNATIONAL_TRANSFER,B003
A14001,ACTIVE,CORPORATE_ACCOUNT,HKD,C014,TRADE_FINANCE,B004
A15001,ACTIVE,CHEQUING,CAD,C015,PERSONAL_BANKING,B005
