customer_id,customer_type,residency_country,customer_status,kyc_risk_rating,onboard_date
C001,INDIVIDUAL,CA,ACTIVE,LOW,2021-03-15
C002,SMALL_BUSINESS,AE,ACTIVE,MEDIUM,2020-07-01
C003,INDIVIDUAL,IR,ACTIVE,HIGH,2022-11-20
C004,BUSINESS,RU,ACTIVE,HIGH,2023-01-05
C005,INDIVIDUAL,US,DORMANT,LOW,2019-09-12
C006,BUSINESS,CN,ACTIVE,MEDIUM,2024-02-18
C007,INDIVIDUAL,SY,ACTIVE,HIGH,2021-06-30
C008,SMALL_BUSINESS,TR,ACTIVE,MEDIUM,2018-12-10
C009,INDIVIDUAL,GB,ACTIVE,LOW,2020-02-22
C010,BUSINESS,KY,ACTIVE,HIGH,2025-04-01
C011,INDIVIDUAL,CA,ACTIVE,LOW,2023-08-14
C012,SMALL_BUSINESS,US,ACTIVE,MEDIUM,2022-04-09
C013,INDIVIDUAL,AE,DORMANT,MEDIUM,2017-05-19
C014,BUSINESS,HK,ACTIVE,HIGH,2021-10-11
C015,INDIVIDUAL,UNKNOWN,ACTIVE,MEDIUM,2024-12-01
