customer_id,residency_country,branch_id,country_risk_level,account_count,active_account_count,kyc_risk_score,kyc_risk_level,risk_reason
C001,CA,B001,LOW,2,2,0,LOW,
C002,AE,B002,MEDIUM,1,1,100,HIGH,BUSINESS_OR_WIRE_ACCOUNT|HIGH_RISK_PRODUCT|COUNTRY_RISK|BUSINESS_CUSTOMER|MEDIUM_KYC_RATING
C003,IR,B003,HIGH,2,2,105,HIGH,BUSINESS_OR_WIRE_ACCOUNT|HIGH_RISK_PRODUCT|COUNTRY_RISK|HIGH_KYC_RATING
C004,RU,B004,HIGH,1,1,115,HIGH,BUSINESS_OR_WIRE_ACCOUNT|HIGH_RISK_PRODUCT|COUNTRY_RISK|BUSINESS_CUSTOMER|HIGH_KYC_RATING
C005,US,B005,LOW,1,0,30,LOW,DORMANT_ACCOUNT
C006,CN,B006,MEDIUM,1,1,100,HIGH,BUSINESS_OR_WIRE_ACCOUNT|HIGH_RISK_PRODUCT|COUNTRY_RISK|BUSINESS_CUSTOMER|MEDIUM_KYC_RATING
C007,SY,B007,HIGH,1,1,105,HIGH,BUSINESS_OR_WIRE_ACCOUNT|HIGH_RISK_PRODUCT|COUNTRY_RISK|HIGH_KYC_RATING
C008,TR,B008,MEDIUM,1,1,100,HIGH,BUSINESS_OR_WIRE_ACCOUNT|HIGH_RISK_PRODUCT|COUNTRY_RISK|BUSINESS_CUSTOMER|MEDIUM_KYC_RATING
C009,GB,B009,LOW,1,1,0,LOW,
C010,KY,B010,HIGH,1,1,115,HIGH,BUSINESS_OR_WIRE_ACCOUNT|HIGH_RISK_PRODUCT|COUNTRY_RISK|BUSINESS_CUSTOMER|HIGH_KYC_RATING
C011,CA,B001,LOW,1,1,0,LOW,
C012,US,B002,LOW,1,1,75,MEDIUM,BUSINESS_OR_WIRE_ACCOUNT|HIGH_RISK_PRODUCT|BUSINESS_CUSTOMER|MEDIUM_KYC_RATING
C013,AE,B003,MEDIUM,1,0,120,HIGH,DORMANT_ACCOUNT|BUSINESS_OR_WIRE_ACCOUNT|HIGH_RISK_PRODUCT|COUNTRY_RISK|MEDIUM_KYC_RATING
C014,HK,B004,,1,1,90,MEDIUM,BUSINESS_OR_WIRE_ACCOUNT|HIGH_RISK_PRODUCT|BUSINESS_CUSTOMER|HIGH_KYC_RATING
C015,UNKNOWN,B005,UNKNOWN,1,1,15,LOW,MEDIUM_KYC_RATING
