transaction_id,transaction_timestamp,customer_id,account_id,counterparty_account_id,counterparty_name,counterparty_country,transaction_amount,transaction_type,channel,transaction_category,transaction_subcategory,transaction_unix_time,transaction_date,transaction_time_key,rolling_24h_amount,rolling_24h_alert_flag,high_risk_country_flag,channel_risk_flag,transaction_type_risk_flag,alert_reason
RT0001,2026-05-01 08:10:00,C001,A1001,CP100,Ali Market,CA,4200,TRANSFER,ONLINE,PAYMENT,DOMESTIC_TRANSFER,1777637400,2026-05-01,08:10,4200,0,0,0,0,NORMAL
RT0002,2026-05-01 13:45:00,C001,A1001,CP101,A. Market,CA,3900,TRANSFER,ONLINE,PAYMENT,DOMESTIC_TRANSFER,1777657500,2026-05-01,13:45,8100,0,0,0,0,NORMAL
RT0003,2026-05-01 20:15:00,C001,A1001,CP102,Ali Mkt,CA,3100,TRANSFER,ONLINE,PAYMENT,DOMESTIC_TRANSFER,1777680900,2026-05-01,20:15,11200,1,0,0,0,24H_AMOUNT_OVER_10000
RT0004,2026-05-02 09:20:00,C002,A2001,CP200,Global Wire HK,HK,25000,WIRE,ONLINE,TRANSFER,INTERNATIONAL_WIRE,1777728000,2026-05-02,09:20,25000,1,1,0,1,HIGH_RISK_COUNTRY|WIRE_TYPE_TRANSACTION|HIGH_24H_WIRE_ACTIVITY|24H_AMOUNT_OVER_10000
RT0005,2026-05-02 09:55:00,C002,A2001,CP201,Global Wire H.K.,HK,27000,WIRE,ONLINE,TRANSFER,INTERNATIONAL_WIRE,1777730100,2026-05-02,09:55,52000,1,1,0,1,HIGH_RISK_COUNTRY|WIRE_TYPE_TRANSACTION|HIGH_24H_WIRE_ACTIVITY|24H_AMOUNT_OVER_10000
RT0006,2026-05-03 10:05:00,C003,A3001,CP300,John Transfer,CA,4800,TRANSFER,MOBILE,PAYMENT,PERSONAL_TRANSFER,1777817100,2026-05-03,10:05,4800,0,0,0,0,NORMAL
RT0007,2026-05-03 17:30:00,C003,A3001,CP301,J. Transfer,CA,4700,TRANSFER,MOBILE,PAYMENT,PERSONAL_TRANSFER,1777843800,2026-05-03,17:30,9500,0,0,0,0,NORMAL
RT0008,2026-05-03 23:40:00,C003,A3001,CP302,Johnny Transfer,CA,1200,TRANSFER,MOBILE,PAYMENT,PERSONAL_TRANSFER,1777866000,2026-05-03,23:40,10700,1,0,0,0,24H_AMOUNT_OVER_10000
RT0009,2026-05-04 11:00:00,C004,A4001,CP400,Crypto Max,AE,15000,WIRE,CRYPTO,TRANSFER,CRYPTO_RELATED,1777906800,2026-05-04,11:00,15000,1,1,1,1,HIGH_RISK_COUNTRY|HIGH_RISK_CHANNEL|WIRE_TYPE_TRANSACTION|HIGH_24H_WIRE_ACTIVITY|24H_AMOUNT_OVER_10000
RT0010,2026-05-04 11:10:00,C004,A4001,CP401,CryptoMax,AE,18000,WIRE,CRYPTO,TRANSFER,CRYPTO_RELATED,1777907400,2026-05-04,11:10,33000,1,1,1,1,HIGH_RISK_COUNTRY|HIGH_RISK_CHANNEL|WIRE_TYPE_TRANSACTION|HIGH_24H_WIRE_ACTIVITY|24H_AMOUNT_OVER_10000
