transaction_id,transaction_date,account_id,customer_id,counterparty_account_id,counterparty_name,counterparty_country,transaction_amount,transaction_type,transaction_channel,transaction_category,transaction_subcategory
T0001,2026-01-02,A1001,C001,CP001,TD Canada Trust,CA,1250.00,TRANSFER,ONLINE,PAYMENT,DOMESTIC_TRANSFER
T0002,2026-01-04,A1001,C001,CP001,TD Canada Trust,CA,1300.00,transfer,online,PAYMENT,DOMESTIC_TRANSFER
T0003,2026-01-20,A1001,C001,CP889,Unknown Trading LLC,RU,85000.00,WIRE,ONLINE,TRANSFER,INTERNATIONAL_WIRE
T0004,2026-01-06,A2001,C002,CP200,ABC Supplier Inc,US,5400.00,EFT,BRANCH,PAYMENT,SUPPLIER_PAYMENT
T0005,2026-01-22,A2001,C002,CP777,Global Export Co,IR,67000.00,WIRE,ONLINE,TRANSFER,INTERNATIONAL_WIRE
T0006,2026-01-03,A3001,C003,CP300,Self Transfer,CA,800.00,TRANSFER,MOBILE,TRANSFER,INTERNAL_TRANSFER
T0007,2026-01-18,A3001,C003,CP901,Crypto Exchange X,AE,25000.00,WIRE,CRYPTO,TRANSFER,CRYPTO_RELATED
T0008,2026-01-01,A4001,C004,CP400,Rent Payment,CA,2200.00,TRANSFER,ONLINE,PAYMENT,RENT
T0009,2026-01-26,A4001,C004,CP902,,CN,43000.00,WIRE,ONLINE,TRANSFER,INTERNATIONAL_WIRE
T0010,2026-01-04,A5001,C005,CP500,Local Vendor,CA,900.00,TRANSFER,MOBILE,PAYMENT,VENDOR_PAYMENT
T0011,2026-01-27,A5001,C005,CP903,Eastern Trade Co,RU,120000.00,WIRE,ONLINE,TRANSFER,INTERNATIONAL_WIRE
T0012,2026-01-10,A6001,C006,CP600,US Supplier,US,7000.00,EFT,BRANCH,PAYMENT,SUPPLIER_PAYMENT
T0013,2026-01-29,A6001,C006,CP904,Temp Account 774,IR,99000.00,WIRE,ONLINE,TRANSFER,INTERNATIONAL_WIRE
T0014,2026-01-06,A7001,C007,CP700,Savings Account,CA,500.00,TRANSFER,MOBILE,TRANSFER,INTERNAL_TRANSFER
T0015,2026-01-30,A7001,C007,CP905,Offshore Holdings,KY,76000.00,WIRE,ONLINE,TRANSFER,INTERNATIONAL_WIRE
T0016,2026-01-02,A8001,C008,CP800,Payroll Funding,CA,3200.00,DEPOSIT,BRANCH,DEPOSIT,PAYROLL
T0017,2026-01-28,A8001,C008,CP906,Cash Broker,SY,54000.00,WIRE,CASH,TRANSFER,CASH_RELATED_WIRE
T0018,2026-01-11,A9001,C009,CP907,Friend Payment,US,1000.00,TRANSFER,MOBILE,PAYMENT,PERSONAL_TRANSFER
T0019,2026-01-19,A9001,C009,CP908,New Wallet,AE,18000.00,WIRE,CRYPTO,TRANSFER,CRYPTO_RELATED
T0020,2026-01-15,A10001,C010,CP909,Family Transfer,CA,2000.00,TRANSFER,ONLINE,PAYMENT,FAMILY_SUPPORT
T0021,2026-01-31,A10001,C010,CP910,No Country Inc,,45000.00,wire,online,transfer,international_wire
T0022,2026-01-31,A2001,C002,CP911,Bad Amount Co,TR,not_available,WIRE,ONLINE,TRANSFER,INTERNATIONAL_WIRE
T0023,2026-01-31,A5001,C005,CP912,Duplicate Test,RU,120000.00,WIRE,ONLINE,TRANSFER,INTERNATIONAL_WIRE
T0023,2026-01-31,A5001,C005,CP912,Duplicate Test,RU,120000.00,WIRE,ONLINE,TRANSFER,INTERNATIONAL_WIRE
